Reference of FaultHunter coding rule violations,,,,
Category,Name,Abbreviation,,Prio.
Exception Rules,Catching Non Primitive Type Exceptions By Value,FHCPP_CEBV,BUG,Critical
,Not Public Inheritance From Catch Type,FHCPP_NPIFCT,BUG,Critical
,Std::exception Not Inherited Publicly,FHCPP_SENIP,BUG,Critical
Object Orientedness Rules,Member Init Order,FHCPP_IL,BUG,Critical
,Missing Virtual Destructor Using Delete,FHCPP_MVDUD,VULNERABILITY,Critical
,Missing Virtual Destructor Using New,FHCPP_MVDUN,VULNERABILITY,Critical
Performance Rules,Static Data At Namespace Scope In Header,FHCPP_SDANSIH,BUG,Critical
Readability and Consistency Rules,Hidden Parameter,FHCPP_HP,BUG,Critical
,Not Defined Evaluation Order,FHCPP_NDEO,BUG,Critical
,Using Directive In Namespace In Header,FHCPP_UDINIH,BUG,Critical
Simple Type Rules,Unsigned Compare Less Than Zero,FHCPP_ULTZ,BUG,Critical
Suspicious Construct Rules,Check For Self Assignment In Assignment Operator,FHCPP_OETS,VULNERABILITY,Critical
,Self Assignment,FHCPP_SA,BUG,Critical
,,,,
Reference of Cppcheck coding rule violations,,,,
Category,Name,Abbreviation,,Prio.
API Rules,Invalid Function Arg,CPPCHECK_IFA,BUG,Blocker
,Invalid Function Arg Bool,CPPCHECK_IFAB,BUG,Blocker
,Memset Value Out Of Range,CPPCHECK_MVOOR,BUG,Critical
,Memset Zero Bytes,CPPCHECK_MZB,BUG,Critical
,Obsolete Functions alloca,CPPCHECK_OFAA,CODE_SMELL,Minor
,Obsolete Functions asctime,CPPCHECK_OFAT,CODE_SMELL,Minor
,Obsolete Functions asctime_r,CPPCHECK_OFA,CODE_SMELL,Minor
,Obsolete Functions bcmp,CPPCHECK_OFBCMP,CODE_SMELL,Minor
,Obsolete Functions bcopy,CPPCHECK_OFBCPY,CODE_SMELL,Minor
,Obsolete Functions bsd_signal,CPPCHECK_OFBSS,CODE_SMELL,Minor
,Obsolete Functions bzero,CPPCHECK_OFBZ,CODE_SMELL,Minor
,Obsolete Functions ctime_r,CPPCHECK_OFCT,CODE_SMELL,Minor
,Obsolete Functions ecvt,CPPCHECK_OFECVT,CODE_SMELL,Minor
,Obsolete Functions fcvt,CPPCHECK_OFFCVT,CODE_SMELL,Minor
,Obsolete Functions ftime,CPPCHECK_OFFT,CODE_SMELL,Minor
,Obsolete Functions gcvt,CPPCHECK_OFGCVT,CODE_SMELL,Minor
,Obsolete Functions getcontext,CPPCHECK_OFGC,CODE_SMELL,Minor
,Obsolete Functions gethostbyaddr,CPPCHECK_OFGHBA,CODE_SMELL,Minor
,Obsolete Functions gethostbyname,CPPCHECK_OFGHBN,CODE_SMELL,Minor
,Obsolete Functions gets,CPPCHECK_OFGS,CODE_SMELL,Minor
,Obsolete Functions getwd,CPPCHECK_OFGWD,CODE_SMELL,Minor
,Obsolete Functions index,CPPCHECK_OFI,CODE_SMELL,Minor
,Obsolete Functions makecontext,CPPCHECK_OFMC,CODE_SMELL,Minor
,Obsolete Functions pthread_attr_getstackaddr,CPPCHECK_OFPAGSA,CODE_SMELL,Minor
,Obsolete Functions pthread_attr_setstackaddr,CPPCHECK_OFPASSA,CODE_SMELL,Minor
