Reference of FxCop coding rule violations,,,,
Category,Name,Abbreviation,,Prio.
ASP.NET.MVC.Security Rules,ControllerActionShouldValidateInput,FXCOP_CASVI,VULNERABILITY,Major
,MarkVerbHandlersWithValidateAntiforgeryToken,FXCOP_MVHWVAT,VULNERABILITY,Major
ASP.NET.Security Rules,EnableEventValidationShouldBeTrue,FXCOP_EEVSBT,VULNERABILITY,Major
,EnableViewStateMacShouldBeTrue,FXCOP_EVSMSBT,VULNERABILITY,Major
,EnableViewStateShouldBeTrue,FXCOP_EVSSBT,VULNERABILITY,Info
,ValidateRequestShouldBeEnabled,FXCOP_VRSBE,VULNERABILITY,Major
,ViewStateEncryptionModeShouldBeAlways,FXCOP_VSEMSBA,VULNERABILITY,Major
,ViewStateUserKeyShouldBeSet,FXCOP_VSUKSBS,VULNERABILITY,Major
ASP.NET.Security.Configuration Rules,AnonymousAccessIsEnabled,FXCOP_AAIE,VULNERABILITY,Minor
,CustomErrorPageShouldBeSpecified,FXCOP_CEPSBS,VULNERABILITY,Major
,CustomErrorsModeShouldBeOn,FXCOP_CEMSBO,VULNERABILITY,Major
,DebugCompilationMustBeDisabled,FXCOP_DCMBD,VULNERABILITY,Blocker
,EnableCrossAppRedirectsShouldBeTrue,FXCOP_ECARSBT,VULNERABILITY,Minor
,FormAuthenticationProtectionShouldBeAll,FXCOP_FAPSBA,VULNERABILITY,Major
,FormAuthenticationRequireSSLShouldBeTrue,FXCOP_FARBT,VULNERABILITY,Major
,FormAuthenticationShouldNotContainFormAuthenticationCredentials,FXCOP_FASNCFAC,VULNERABILITY,Blocker
,FormAuthenticationSlidingExpirationShouldBeFalse,FXCOP_FASESBF,VULNERABILITY,Minor
,HttpCookiesHttpOnlyCookiesShouldBeTrue,FXCOP_HCHOCSBT,VULNERABILITY,Major
,HttpCookiesRequireSSLShouldBeTrue,FXCOP_HCRBT,VULNERABILITY,Major
,HttpRuntimeEnableHeaderCheckingShouldBeTrue,FXCOP_HREHCSBT,VULNERABILITY,Major
,PagesEnableEventValidationMustBeTrue,FXCOP_PEEVMBT,VULNERABILITY,Major
,PagesEnableViewStateMacShouldBeTrue,FXCOP_PEVSMSBT,VULNERABILITY,Major
,PagesValidateRequestShouldBeEnabled,FXCOP_PVRSBE,VULNERABILITY,Major
,PagesViewStateEncryptionModeShouldBeAlways,FXCOP_PVSEMSBA,VULNERABILITY,Critical
,RoleManagerCookieProtectionShouldBeAll,FXCOP_RMCPSBA,VULNERABILITY,Major
,RoleManagerCookieRequireSSLShouldBeTrue,FXCOP_RMCRBT,VULNERABILITY,Major
,RoleManagerCookieSlidingExpirationShouldBeTrue,FXCOP_RMCSESBF,VULNERABILITY,Minor
,TraceShouldBeDisabled,FXCOP_TSBD,VULNERABILITY,Major
Microsoft.Design Rules,Abstract types should not have constructors,FXCOP_ATSNHC,BUG,Major
,Assemblies should have valid strong names,FXCOP_ASHVSN,BUG,Blocker
,Avoid empty interfaces,FXCOP_AEI,BUG,Minor
,Avoid excessive parameters on generic types,FXCOP_AEPOGT,CODE_SMELL,Critical
,Avoid namespaces with few types,FXCOP_ANWFT,CODE_SMELL,Minor
,Avoid out parameters,FXCOP_AOP,CODE_SMELL,Minor
,Collections should implement generic interface,FXCOP_CSIGI,CODE_SMELL,Critical
,Consider passing base types as parameters,FXCOP_CPBTAP,CODE_SMELL,Critical
,Declare event handlers correctly,FXCOP_DEHC,BUG,Critical
,Declare types in namespaces,FXCOP_DTIN,BUG,Critical
,Default parameters should not be used,FXCOP_DPSNBU,BUG,Critical
,Define accessors for attribute arguments,FXCOP_DAFAA,BUG,Critical
,Do not catch general exception types,FXCOP_DNCGET,BUG,Blocker
,Do not declare protected members in sealed types,FXCOP_DNDPMIST,BUG,Critical
,Do not declare static members on generic types,FXCOP_DNDSMOGT,BUG,Critical
,Do not declare virtual members in sealed types,FXCOP_DNDVMIST,BUG,Critical
,Do not declare visible instance fields,FXCOP_DNDVIF,BUG,Critical
,Do not expose generic lists,FXCOP_DNEGL,BUG,Critical
,Do not hide base class methods,FXCOP_DNHBCM,BUG,Major
,Do not nest generic types in member signatures,FXCOP_DNNGTIMS,BUG,Blocker
,Do not overload operator equals on reference types,FXCOP_DNOOEORT,CODE_SMELL,Minor
,Do not pass types by reference,FXCOP_DNPTBR,CODE_SMELL,Minor
,Do not raise exceptions in unexpected locations,FXCOP_DNREIUL,BUG,Critical
,Enum storage should be Int32,FXCOP_ESSBI,CODE_SMELL,Minor
,Enumerators should be strongly typed,FXCOP_ESBST,BUG,Critical
,Enums should have zero value,FXCOP_ESHZV,VULNERABILITY,Blocker
,Exceptions should be public,FXCOP_ESBP,BUG,Minor
,Generic methods should provide type parameter,FXCOP_GMSPTP,BUG,Minor
,ICollection implementations have strongly typed members,FXCOP_IIHSTM,BUG,Critical
,Implement IDisposable correctly,FXCOP_IC,BUG,Critical
,Implement standard exception constructors,FXCOP_ISEC,BUG,Critical
,Indexers should not be multidimensional,FXCOP_ISNBM,CODE_SMELL,Minor
,Interface methods should be callable by child types,FXCOP_IMSBCBCT,BUG,Critical
,Lists are strongly typed,FXCOP_LAST,BUG,Critical
,Mark assemblies with AssemblyVersionAttribute,FXCOP_MAWAV,VULNERABILITY,Critical
,Mark assemblies with CLSCompliantAttribute,FXCOP_MAWCC,BUG,Critical
,Mark assemblies with ComVisibleAttribute,FXCOP_MAWCV,VULNERABILITY,Blocker
,Mark attributes with AttributeUsageAttribute,FXCOP_MAWAU,BUG,Critical
,Mark enums with FlagsAttribute,FXCOP_MEWF,CODE_SMELL,Minor
,Members should not expose certain concrete types,FXCOP_MSNECCT,BUG,Critical
,Move P/Invokes to NativeMethods class,FXCOP_MTNMC,BUG,Major
,Nested types should not be visible,FXCOP_NTSNBV,BUG,Critical
,Overload operator equals on overloading add and subtract,FXCOP_OOEOOAAS,BUG,Critical
,Override methods on comparable types,FXCOP_OMOCT,BUG,Critical
,Properties should not be write only,FXCOP_PSNBWO,BUG,Critical
,Provide ObsoleteAttribute message,FXCOP_POAM,BUG,Critical
,Replace repetitive arguments with params array,FXCOP_RRAWPA,CODE_SMELL,Minor
,Static holder types should be sealed,FXCOP_SHTSBS,CODE_SMELL,Major
,Static holder types should not have constructors,FXCOP_SHTSNHC,BUG,Critical
,String URI overloads call System.Uri overloads,FXCOP_SUOCSUO,BUG,Critical
,Types should not extend certain base types,FXCOP_TSNECBT,BUG,Critical
,Types that own disposable fields should be disposable,FXCOP_TTODFSBD,BUG,Blocker
,Types that own native resources should be disposable,FXCOP_TTONRSBD,BUG,Blocker
,URI parameters should not be strings,FXCOP_UPSNBS,BUG,Critical
,URI properties should not be strings,FXCOP_URPRSHNOBEST,BUG,Critical
,URI return values should not be strings,FXCOP_URVSNBS,BUG,Critical
,Use events where appropriate,FXCOP_UEWA,CODE_SMELL,Minor
,Use generic event handler instances,FXCOP_UGEHI,BUG,Critical
,Use generics where appropriate,FXCOP_UGWA,CODE_SMELL,Blocker
,Use integral or string argument for indexers,FXCOP_UIOSAFI,CODE_SMELL,Critical
,Use properties where appropriate,FXCOP_UPWA,CODE_SMELL,Minor
Microsoft.Globalization Rules,Avoid duplicate accelerators,FXCOP_ADA,BUG,Critical
,Do not hardcode locale specific strings,FXCOP_DNHLSS,BUG,Critical
,Normalize strings to uppercase,FXCOP_NSTU,CODE_SMELL,Critical
,Set locale for data types,FXCOP_SLFDT,BUG,Critical
,Specify CultureInfo,FXCOP_SCI,BUG,Critical
,Specify IFormatProvider,FXCOP_SP,BUG,Critical
,Specify marshaling for P/Invoke string arguments,FXCOP_SMFSA,BUG,Critical
,Specify MessageBoxOptions,FXCOP_SMBO,VULNERABILITY,Critical
,Specify StringComparison,FXCOP_SSC,BUG,Critical
,Use ordinal StringComparison,FXCOP_UOSC,BUG,Critical
Microsoft.Interoperability Rules,Auto layout types should not be COM visible,FXCOP_ALTSNBCV,BUG,Critical
,Avoid Int64 arguments for Visual Basic 6 clients,FXCOP_AIF,CODE_SMELL,Minor
,Avoid non-public fields in COM visible value types,FXCOP_ANFICVVT,CODE_SMELL,Minor
,Avoid overloads in COM visible interfaces,FXCOP_AOICVI,CODE_SMELL,Major
,Avoid static members in COM visible types,FXCOP_ASMICVT,CODE_SMELL,Minor
,Call GetLastError immediately after P/Invoke,FXCOP_CGLEIA,BUG,Critical
,COM registration methods should be matched,FXCOP_CRMSBM,BUG,Major
,COM registration methods should not be visible,FXCOP_CRMSNBV,VULNERABILITY,Major
,COM visible type base types should be COM visible,FXCOP_CVTBTSBCV,BUG,Critical
,COM visible types should be creatable,FXCOP_CVTSBC,BUG,Critical
,Declare P/Invokes correctly,FXCOP_DC,BUG,Blocker
